,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," having been satisfactorily identified and duly sworn by the Notary Public, was examined and testified as follows: EXAMINATION",,,start_question
1,218,7,6,"Good morning, sir.  Can you please introduce yourself.",q,MR. BECERRA,start_answer
2,220,7,8,David C. Morton.,a,THE WITNESS,start_question
3,221,7,9,"And what is your date of birth, Mr. Morton?",q,MR. BECERRA,start_answer
4,223,7,11,12/23/40.,a,THE WITNESS,start_question
5,224,7,12,And how old does that make you today?,q,MR. BECERRA,start_answer
6,225,7,13,77.,a,THE WITNESS,start_question
7,226,7,14,And where do you currently live?,q,MR. BECERRA,start_answer
8,227,7,15,"180 Gay Road in Groton, Mass.",a,THE WITNESS,start_question
9,228,7,16,And how long have you lived at 180 Gay Road in Groton?,q,MR. BECERRA,start_answer
10,230,7,18,1961.,a,THE WITNESS,start_question
11,231,7,19,Are you currently married?,q,MR. BECERRA,start_answer
12,232,7,20,Yes.,a,THE WITNESS,start_question
13,233,7,21,And what is your wife's name?,q,MR. BECERRA,start_answer
14,234,7,22,Barbara Morton.,a,THE WITNESS,start_question
15,235,7,23,And how long have you and Barbara been married?,q,MR. BECERRA,start_answer
16,238,8,1,1961.,a,THE WITNESS,start_question
17,239,8,2,Okay.  And do you and Barbara have any children?,q,MR. BECERRA,start_answer
18,241,8,4,Yes.,a,THE WITNESS,start_question
19,242,8,5,How many?,q,MR. BECERRA,start_answer
20,243,8,6,Three.,a,THE WITNESS,start_question
21,244,8,7,Okay.  And what are the names of your children?,q,MR. BECERRA,start_answer
22,246,8,9,"Allison Hurley, Susan Morton, and Sharon Eaton.",a,THE WITNESS,start_question
23,248,8,11,And how old is Allison?,q,MR. BECERRA,start_answer
24,249,8,12,"Allison is -- she was born the end of 1961, so 55.",a,THE WITNESS,start_question
25,251,8,14,And how old is Susan?,q,MR. BECERRA,start_answer
26,252,8,15,53.,a,THE WITNESS,start_question
27,253,8,16,And what about Sharon?,q,MR. BECERRA,start_answer
28,254,8,17,53.,a,THE WITNESS,start_question
29,255,8,18,Okay.  Do you have any grandchildren?,q,MR. BECERRA,start_answer
30,256,8,19,Yes.,a,THE WITNESS,start_question
31,257,8,20,How many in total?,q,MR. BECERRA,start_answer
32,258,8,21,Six.,a,THE WITNESS,start_question
33,259,8,22,Okay.  And where do your daughters live? Here in Massachusetts?,q,MR. BECERRA,start_answer
34,261,8,24,Two live in Massachusetts.  One lives in Ohio.,a,THE WITNESS,start_question
35,264,9,2,Okay.  And how often do you spend time with your two daughters that live here in Massachusetts and their children?,q,MR. BECERRA,start_answer
36,267,9,5,"Once, twice a month.",a,THE WITNESS,start_question
37,268,9,6,"Okay.  We'll talk a little bit more about your family in just a moment.  For now, I just want to focus a little bit more on your background.  Okay?",q,MR. BECERRA,start_answer
38,272,9,10,Yup.,a,THE WITNESS,start_question
39,273,9,11,Where did you live growing up?,q,MR. BECERRA,start_answer
40,274,9,12,At Brown Loof Road in Groton.,a,THE WITNESS,start_question
41,275,9,13,Have you always lived in the Groton area?,q,MR. BECERRA,start_answer
42,276,9,14,Yes.,a,THE WITNESS,start_question
43,277,9,15,And where did you go to school growing up?,q,MR. BECERRA,start_answer
44,278,9,16,In Groton.,a,THE WITNESS,start_question
45,279,9,17,What about high school?,q,MR. BECERRA,start_answer
46,280,9,18,Groton.,a,THE WITNESS,start_question
47,281,9,19,"And growing up, who did you live with?",q,MR. BECERRA,start_answer
48,282,9,20,"Obviously, my parents.",a,THE WITNESS,start_question
49,283,9,21,What are your parents' names?,q,MR. BECERRA,start_answer
50,284,9,22,Agnes Morton and Walter Morton.,a,THE WITNESS,start_question
51,285,9,23,Okay.  And did you have any siblings growing up?,q,MR. BECERRA,start_answer
52,288,10,1,Yes.,a,THE WITNESS,start_question
53,289,10,2,What are their names?,q,MR. BECERRA,start_answer
54,290,10,3,"Donald, Finemore and Florence.",a,THE WITNESS,start_question
55,291,10,4,"Your home at 180 Gay Road that you live in now, when was that home built?",q,MR. BECERRA,start_answer
56,293,10,6,The home was built in 1964.,a,THE WITNESS,start_question
57,294,10,7,Is that when you moved in for the first time?,q,MR. BECERRA,start_answer
58,296,10,9,No.,a,THE WITNESS,start_question
