,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," witness has previously been sworn in.  Counsel, you may proceed.",,,start_chat
1,196,11,11,Thank you.,side_chat,MR. HOOVER,start_question
2,199,11,14,"Good morning, Mr. Morton.  Good to see you again.",q,MR. HOOVER,start_answer
3,201,11,16,Good morning.,a,THE WITNESS,start_question
4,202,11,17,"We're here to finish up today for your deposition, and I think when we left on Tuesday, I kind of gave you a road map of what's going to happen today.  I'm going to finish up my time with Groton Refrigeration and your father's business and your work there, and then some other folks here in the room may have some questions for you.  Some folks on the phone may have some questions for you.  But kind of, again, the same rules as Tuesday.  If there's anything that I ask that you don't understand or doesn't seem clear, just let me know, and I'll rephrase it for you.  Fair enough?",q,MR. HOOVER,start_answer
5,215,12,5,Yes.,a,THE WITNESS,start_question
6,216,12,6,"Okay.  And there you go.  Responses have to be verbal.  But, again, if you need a break at any time, just let us know.  Okay?",q,MR. HOOVER,start_answer
7,219,12,9,Yes.,a,THE WITNESS,start_question
8,220,12,10,"Okay.  Between Tuesday and this morning, did you do anything to prepare for today?  Review anything?  Talk to anybody, aside from your attorney?",q,MR. HOOVER,start_answer
9,223,12,13,No.,a,THE WITNESS,start_question
10,224,12,14,Okay.  I understand -- did you have some treatment yesterday?  Did you have a medical appointment yesterday?,q,MR. HOOVER,start_answer
11,227,12,17,Yes.,a,THE WITNESS,start_question
12,228,12,18,Okay.  And how are you feeling today?  Are you okay to continue?,q,MR. HOOVER,start_answer
13,230,12,20,Good so far.,a,THE WITNESS,start_question
14,231,12,21,Okay.  Good enough.  One of the things I will later on today is probably get into your medical diagnosis and treatment.,q,MR. HOOVER,start_answer
15,234,12,24,Yeah.,a,THE WITNESS,start_question
16,236,13,1,"But we'll move on, at least right now, to Groton Refrigeration.  And we spoke briefly about it on Tuesday.  That was the business that your father started sometime, as I understand it, in the 1940s?",q,MR. HOOVER,start_answer
17,240,13,5,Correct.,a,THE WITNESS,start_question
18,241,13,6,"Okay.  And at one point, he was kind of employed by Fort Devens as a refrigeration engineer, correct?",q,MR. HOOVER,start_answer
19,244,13,9,Correct.,a,THE WITNESS,start_question
20,245,13,10,"And then he also started his own business, Groton Refrigeration, where he would do some commercial and residential work kind of on the side, right?",q,MR. HOOVER,start_answer
21,249,13,14,Correct.,a,THE WITNESS,start_question
22,250,13,15,All right.  And he retired in 1965-ish?,q,MR. HOOVER,start_answer
23,251,13,16,Yes.,a,THE WITNESS,start_question
24,252,13,17,Okay.  And he retired from the Fort Devens stuff?,q,MR. HOOVER,start_answer
25,254,13,19,Fort Devens.,a,THE WITNESS,start_question
26,255,13,20,Right.  But continued Groton Refrigeration?,q,MR. HOOVER,start_answer
27,257,13,22,Correct.,a,THE WITNESS,start_question
28,258,13,23,And he did that up until the time of his passing in 1971?,q,MR. HOOVER,start_answer
29,261,14,1,Yes.  Correct.,a,THE WITNESS,start_question
30,262,14,2,"And then the business kind of folded in '72, but from that '71 to '72 time frame, that's kind of when you were --",q,MR. HOOVER,start_answer
31,265,14,5,Winding down.,a,THE WITNESS,start_question
32,266,14,6,"Right.  Wrapping up the business, correct?",q,MR. HOOVER,start_answer
33,267,14,7,Correct.,a,THE WITNESS,start_question
34,268,14,8,"Okay.  So you indicated, I think, on Tuesday that you began helping your father out maybe on evenings and weekends around the age of 10?",q,MR. HOOVER,start_answer
35,271,14,11,Correct.,a,THE WITNESS,start_question
36,272,14,12,All right.  So that would have been about 1950?,q,MR. HOOVER,start_answer
37,274,14,14,Yes.,a,THE WITNESS,start_question
38,275,14,15,Okay.  Did you help your father while he was performing work here at Fort Devens?,q,MR. HOOVER,start_answer
39,277,14,17,Not for Fort Devens.,a,THE WITNESS,start_question
40,278,14,18,Okay.,q,MR. HOOVER,start_answer
41,279,14,19,"He would -- in other words, he was like a subcontractor that would bid off on certain projects that the government wanted done.  I did not work for Fort Devens or the government in any manner.",a,THE WITNESS,start_question
42,283,14,23,"Okay.  But if your father would bid on a job for Fort Devens, he might get it, and you might be helping your father --",q,MR. HOOVER,start_answer
43,287,15,2,Correct.,a,THE WITNESS,start_question
44,288,15,3,"-- perform work, correct?",q,MR. HOOVER,start_answer
45,289,15,4,Correct.,a,THE WITNESS,start_question
46,290,15,5,"Okay.  And the work that your father was doing for Fort Devens -- I'm kind of like breaking it into two areas.  One would be the Fort Devens work, and then a separate might be the stuff he might do on the side, right?  Is that kind of how his business ran?",q,MR. HOOVER,start_answer
47,296,15,11,"We only took care of really two -- the NCO Club and the Officers Club.  Those -- which were sort of separate.  They had separate managers.  In other words, the government didn't really run those.  So, yes, I worked at those two areas.",a,THE WITNESS,start_question
48,301,15,16,The NCO Club and the Officers Club?,q,MR. HOOVER,start_answer
49,302,15,17,Yes.,a,THE WITNESS,start_question
50,303,15,18,"Was there any other areas or any other projects that your father did for Fort Devens that you were involved in, aside from working at the NCO Club or the Officers Club?",q,MR. HOOVER,start_answer
51,307,15,22,I was basically performing that work for Groton Refrigeration.,a,THE WITNESS,start_question
52,309,15,24,Okay.,q,MR. HOOVER,start_answer
53,311,16,1,Groton Refrigeration had the subcontract.,a,THE WITNESS,start_question
54,312,16,2,Gotcha.,q,MR. HOOVER,start_answer
55,313,16,3,If that makes sense.,a,THE WITNESS,start_question
56,314,16,4,It does.  So your father as Groton Refrigeration --,q,MR. HOOVER,start_answer
57,316,16,6,Right.,a,THE WITNESS,start_question
58,317,16,7,-- would get the bids or the projects for the Fort Devens?,q,MR. HOOVER,start_answer
59,319,16,9,Correct.,a,THE WITNESS,start_question
60,320,16,10,"And then as I understand it, those particular projects were essentially -- were they limited to the NCO Club and the Officers Club?",q,MR. HOOVER,start_answer
61,323,16,13,No.  No.,a,THE WITNESS,start_question
62,324,16,14,They would be --,q,MR. HOOVER,start_answer
63,325,16,15,"These were owned by Fort Devens, whether -- some of the mess halls.  There was more than one mess hall, so he --",a,THE WITNESS,start_question
64,328,16,18,Go ahead.,q,MR. HOOVER,start_answer
65,329,16,19,-- he would bid off on certain work that had to be done.,a,THE WITNESS,start_question
66,331,16,21,"All right.  Well, let's try it this way. With respect to Fort Devens, what particular jobs or what particular sites do you recall assisting your father as part of his work in conjunction with Fort Devens?",q,MR. HOOVER,start_answer
67,337,17,2,Could you rephrase that?,a,THE WITNESS,start_question
68,338,17,3,Sure.  Yeah.  I'm trying to envision here that what happens is your father -- bids go off in Fort Devens for refrigeration work?,q,MR. HOOVER,start_answer
69,341,17,6,Yes.,a,THE WITNESS,start_question
70,342,17,7,"Your father, as Groton Refrigeration, puts in for particular jobs, correct?",q,MR. HOOVER,start_answer
71,344,17,9,Correct.,a,THE WITNESS,start_question
72,345,17,10,"All right.  And some of them he may be awarded, correct?",q,MR. HOOVER,start_answer
73,347,17,12,Correct.,a,THE WITNESS,start_question
74,348,17,13,"All right.  And some of those, I want to know which ones he was awarded that you went and assisted him.  Does that make sense?",q,MR. HOOVER,start_answer
75,351,17,16,Yeah.  Just on Fort Devens?,a,THE WITNESS,start_question
76,352,17,17,Just on Fort Devens.  Right.,q,MR. HOOVER,start_answer
77,353,17,18,It was -- the plant is not there anymore.,a,THE WITNESS,start_question
78,354,17,19,Uh-huh.,q,MR. HOOVER,start_answer
79,355,17,20,But it was a cold storage plant that received the beef from railroad cars.  So we would do some work at those.,a,THE WITNESS,start_question
80,358,17,23,Okay.  So -- go ahead.  Were there others?,q,MR. HOOVER,start_answer
81,359,17,24,That was the main one that I remember.,a,THE WITNESS,start_question
82,361,18,1,Okay.,q,MR. HOOVER,start_answer
83,362,18,2,That was one of the big ones.,a,THE WITNESS,start_question
84,363,18,3,"Okay.  With respect to the -- you and your father's work at the cold storage plant at Fort Devens, do you recall what particular type of work you were doing at the storage plant?",q,MR. HOOVER,start_answer
85,367,18,7,"As the railcars came in, there was a bunch of hooks that rode on a track.  So they were going to dissemble that facility.",a,THE WITNESS,start_question
86,370,18,10,Uh-huh.,q,MR. HOOVER,start_answer
87,371,18,11,"So my main was to disassemble these tracks, and they were done in sections and bolted, and, you know, you undo the bolt, take the track out. So there was a lot of mechanical.",a,THE WITNESS,start_question
88,375,18,15,"So they were in the process of, what? Dissembling the storage plant?",q,MR. HOOVER,start_answer
89,377,18,17,Yes.,a,THE WITNESS,start_question
90,378,18,18,Okay.  And how old do you think you were when you went to help your father disassemble this storage plant?,q,MR. HOOVER,start_answer
91,381,18,21,"I'm going to say 15, 16 years old.",a,THE WITNESS,start_question
92,382,18,22,Okay.  And how long were you working with your father to help disassemble this storage plant? How long did that project take?,q,MR. HOOVER,start_answer
93,386,19,1,That was almost a month's project.,a,THE WITNESS,start_question
94,387,19,2,"So if you were 15 or 16, that might have been, like, 1955, '56 time frame?",q,MR. HOOVER,start_answer
95,389,19,4,Correct.,a,THE WITNESS,start_question
96,390,19,5,"And was this in the summer, like, between school years, or when did this project take place?",q,MR. HOOVER,start_answer
97,392,19,7,"A lot of it was weekends, whether it was a summer or winter -- I think either fall, spring, or summer and fall.  I mean, I don't remember any major snowstorms or anything like that.",a,THE WITNESS,start_question
98,396,19,11,"Okay.  And then as I understand, your role here was essentially to kind of disassemble these tracks.  Were they made out of metal?",q,MR. HOOVER,start_answer
99,399,19,14,"They were made out of metal, yes.",a,THE WITNESS,start_question
100,400,19,15,"And the hooks -- I assume you hook on a side of meat, and it comes off the train?",q,MR. HOOVER,start_answer
