,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," EDUARDO ROBLES, having been first duly sworn, testified through the duly sworn interpreter as follows: EXAMINATION",,,start_question
1,117,4,16,"Good morning, sir.",q,MR. NEWTON,start_answer
2,118,4,17,Good morning.,a,THE WITNESS,start_question
3,119,4,18,"Would you state your complete name for the record, please.",q,MR. NEWTON,start_answer
4,121,4,20,Eduardo Pedroza Robles -- Robles.,a,THE WITNESS,start_question
5,122,4,21,"Could you spell the middle name, please.",q,MR. NEWTON,start_answer
6,123,4,22,P-E-D-R-O-Z-A.,a,THE WITNESS,start_question
7,124,4,23,"How old are you, sir?",q,MR. NEWTON,start_answer
8,125,4,24,54.,a,THE WITNESS,start_question
9,126,4,25,"Okay.  Mr. Robles, my name is Frank Newton.  I represent Kuraray in this deposition and in this lawsuit that you have brought against Kuraray.  Do you understand who I am and who I represent?",q,MR. NEWTON,start_answer
10,131,5,4,"Yes.  Yes, I do understand, sir.",a,THE WITNESS,start_question
11,132,5,5,Do you understand that I'm on the opposite side of this lawsuit from you and your attorney here representing you?,q,MR. NEWTON,start_answer
12,135,5,8,"Yes, sir.",a,THE WITNESS,start_question
13,136,5,9,Have you ever given a deposition before?,q,MR. NEWTON,start_answer
14,137,5,10,No.,a,THE WITNESS,start_question
15,138,5,11,"Let me cover a few basic ground rules since this is -- this is your first time to be deposed.  First of all, it's important you understand that you've been placed under oath.  This is the same oath you'd be under if you were testifying in open court. Do you understand that?",q,MR. NEWTON,start_answer
16,144,5,17,Yes.  I understand.,a,THE WITNESS,start_question
17,145,5,18,It carries with it the same pains and penalties for perjury as if you were testifying in open court. Do you understand that?,q,MR. NEWTON,start_answer
18,148,5,21,I do understand.,a,THE WITNESS,start_question
19,149,5,22,"Your attorney, Mr. Garvin, may have had a chance to meet with you before the deposition and explain to you what to expect.  Let me cover a few additional ground rules.  First of all --",q,MR. NEWTON,start_answer
20,154,6,1,Yes.,a,THE WITNESS,start_question
21,155,6,2,"-- it's important that you give audible responses like yes, no, I don't know, as opposed to uh-huh, uh-uh, or shrugging your shoulders or nodding your head.  Okay?",q,MR. NEWTON,start_answer
22,159,6,6,Yes.  I understand.,a,THE WITNESS,start_question
23,160,6,7,That way we will be able to get your intended testimony as opposed to me just assuming I know what you mean or intend to say.  Okay?,q,MR. NEWTON,start_answer
24,163,6,10,That's fine.,a,THE WITNESS,start_question
25,164,6,11,"So from time to time, I say, is that a ""yes""? Or is that a ""no""?  I'm not being rude.  I'm just making sure we have your intended testimony on the record.",q,MR. NEWTON,start_answer
