,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0,,,,start_chat
1,145,5,13,"I affirm that. A U S A F   Q U R E S H I, being first duly affirmed by the Notary, testifies as follows:",side_chat,THE WITNESS,start_chat
2,148,5,16,Thank you.,side_chat,ARBITRATOR COHEN,start_question
3,150,5,18,"Good morning, Mr. Qureshi.",q,MR. HELLER,start_answer
4,151,5,19,Good morning.,a,THE WITNESS,start_question
5,152,5,20,"You are going to be asked several questions.  I am here to introduce you, so please state your name -- your full name for the record.",q,MR. HELLER,start_answer
6,155,5,23,Ausaf Qureshi.,a,THE WITNESS,start_question
7,156,5,24,And where do you live?,q,MR. HELLER,start_answer
8,157,5,25,"I live in Lahore, Pakistan.",a,THE WITNESS,start_answer
9,159,6,1,Qureshi - Heller,a,THE WITNESS,start_question
10,160,6,2,And do you also have a corporate address?,q,MR. HELLER,start_answer
11,162,6,4,"I do have a corporate address.  So I have an address in the U.S., which is the MFC corporate address, which is 11 West Ohio Street, Suite 2000, Indianapolis. And I also have a Lahore address, which is -- if you want --",a,THE WITNESS,start_question
12,168,6,10,"Yes, please.",q,MR. HELLER,start_answer
13,169,6,11,"-- 810 Khayaban-e-Jinnah, Lahore Cantt, too.",a,THE WITNESS,start_question
14,170,6,12,And what is your occupation?,q,MR. HELLER,start_answer
15,171,6,13,"So I'm company secretary at MFC, and I'm also company secretary for our fertilizer business in Pakistan.",a,THE WITNESS,start_question
16,174,6,16,"Okay.  And the witness statement that you had submitted in this action, is that before you now?",q,MR. HELLER,start_answer
17,177,6,19,It is.,a,THE WITNESS,start_question
18,178,6,20,"Okay.  Is that the complete witness statement, as far as you could tell?",q,MR. HELLER,start_answer
19,180,6,22,That's my complete witness statement.,a,THE WITNESS,start_question
20,181,6,23,Okay.  And does -- is that witness statement true and correct as you sit hear today?,q,MR. HELLER,start_answer
21,183,6,25,It is true and correct as I sit here today.,a,THE WITNESS,start_answer
22,185,7,1,Qureshi - Harrison,a,THE WITNESS,start_question
23,186,7,2,Okay.  Thank you.,q,MR. HELLER,start_chat
24,187,7,3,"Just while Mr. Harrison is setting up, are both sides keeping time?",side_chat,ARBITRATOR COHEN,start_chat
25,190,7,6,"Madame Arbitrator, may I please tender what is now marked as C. Dem. 1, that is Claimant Demonstrative No. 1, a copy of the same opening statement PowerPoint presentation that we provided to the arbitrator and to opposing counsel yesterday.",side_chat,MR. HARRISON,is brackets
26,196,7,12,(Exhibit marked as Claimant Demonstrative 1.),brackets,,start_chat
27,197,7,13,Thank you. EXAMINATION,side_chat,ARBITRATOR COHEN,start_question
28,200,7,16,"Mr. Qureshi, good morning.",q,MR. HARRISON,start_answer
29,201,7,17,Good morning.,a,THE WITNESS,start_question
30,202,7,18,"You say in Paragraph 4 of your witness statement that you are the company secretary of Midwest Fertilizer Company, LLC --",q,MR. HARRISON,start_answer
31,205,7,21,That's right.,a,THE WITNESS,start_question
32,206,7,22,"-- and also, you lead the commercial financial areas of project development for MFC. What does it mean to be MFC's company secretary?  Are you part, for example, of the",q,MR. HARRISON,start_answer
33,211,8,1,Qureshi - Harrison management team of MFC?,a,THE WITNESS,start_answer
34,213,8,3,"I am, yes.",a,THE WITNESS,start_chat
35,214,8,4,"Madame Arbitrator, I would mark as Plaintiff's Demonstrative No. 2 a printout.",side_chat,MR. HARRISON,is brackets
36,217,8,7,(Exhibit marked as Claimant Demonstrative 2.),brackets,,start_question
37,219,8,9,"Do you recognize this as the logo for Midwest Fertilizer Company, MFC, the respondent in this case?",q,MR. HARRISON,start_answer
38,222,8,12,I do.,a,THE WITNESS,start_question
39,223,8,13,"And are you aware that on its web site it has the management team members listed, and they are Michael Chorlton and Les Wright and no one else?",q,MR. HARRISON,start_answer
40,226,8,16,Yes.,a,THE WITNESS,start_question
41,227,8,17,"You knew that. Why aren't you listed as a member of the management team if, in fact, you are a member of the management team?",q,MR. HARRISON,start_answer
42,231,8,21,The web site is incomplete.,a,THE WITNESS,start_question
43,232,8,22,When did you realize that the web site was incomplete?,q,MR. HARRISON,start_answer
44,234,8,24,Until you showed this to me.,a,THE WITNESS,start_question
45,235,8,25,Do you plan to have the web site,q,MR. HARRISON,start_answer
46,237,9,1,Qureshi - Harrison updated?,a,THE WITNESS,start_answer
47,239,9,3,"I do, I do.",a,THE WITNESS,start_question
48,240,9,4,Who else will you add to the web site?,q,MR. HARRISON,start_answer
