,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," ROBIN SMITH, Deponent, having been satisfactorily identified and duly sworn by the Notary Public, deposes and states as follows:",,,start_question
1,155,7,10,Could you state your name and spell your last name for the court reporter?,q,MR. FITZPATRICK,start_answer
2,157,7,12,Robin C. Smith.  Smith is S-M-I-T-H.,a,THE WITNESS,start_question
3,158,7,13,"And you're here today in response to a notice of deposition directed to you as an officer, director, or managing agent of the defendant Smith Marine, Inc. in the lawsuit of Burnham Associates, Inc. versus Smith Marine, Inc. and a very long name of an insurance company, which has an a/k/a and a d/b/a, which I'll spare us, and this lawsuit is currently in the Essex Superior Court; is that correct?",q,MR. FITZPATRICK,start_answer
4,167,7,22,Correct.,a,THE WITNESS,start_chat
5,168,7,23,I'll have this marked as our first exhibit.,side_chat,MR. FITZPATRICK,is brackets
6,172,8,1,"(Exhibit No. 1, Notice of Taking Deposition, marked for identification)",brackets,,start_question
7,176,8,5,I'm putting in front of you what's been marked as the first exhibit to this deposition.  Is that the notice of deposition that brought you here today?,q,MR. FITZPATRICK,start_answer
8,180,8,9,Yes.,a,THE WITNESS,start_chat
9,181,8,10,"Before we go any further, John, would you like to agree -- as counsel for the deponent, would you like to agree to the usual stipulations?  In other words, all objections, except as to form, are reserved for the time of trial as are all motions to strike?",side_chat,MR. FITZPATRICK,start_chat
10,187,8,16,"Yes, please.  And read and sign.  Waive notary.",side_chat,MR. BROMLEY,start_chat
11,189,8,18,"We're happy to waive the notary.  Reading and signing, we'll say 45 days for now is agreeable to both sides, if that's acceptable to you.",side_chat,MR. FITZPATRICK,start_chat
12,193,8,22,Okay.,side_chat,MR. BROMLEY,start_chat
13,194,8,23,"And if you require longer, just please let me know by e-mail or some other written notice.",side_chat,MR. FITZPATRICK,start_chat
14,199,9,2,No problem.  Thank you.,side_chat,MR. BROMLEY,start_chat
15,200,9,3,Thank you.,side_chat,MR. FITZPATRICK,start_question
16,202,9,5,"And what is your -- do you see that your deposition was noticed, Miss Smith, as an officer, director, or managing agent of the defendant Smith Marine, Inc. in this lawsuit?",q,MR. FITZPATRICK,start_answer
17,206,9,9,Yes.,a,THE WITNESS,start_question
18,207,9,10,"And what is your -- are you an officer, director, or managing agent of the defendant Smith Marine, Incorporated?",q,MR. FITZPATRICK,start_answer
19,210,9,13,Yes.,a,THE WITNESS,start_question
20,211,9,14,What are your positions in those capacities?,q,MR. FITZPATRICK,start_answer
21,213,9,16,"CEO, director, treasurer, clerk.",a,THE WITNESS,start_question
22,214,9,17,All right.  And how long have you had those positions?,q,MR. FITZPATRICK,start_answer
23,216,9,19,"2003 we incorporated.  In 2005, I became CEO.",a,THE WITNESS,start_question
24,218,9,21,So you've held those positions since at least 2005 --,q,MR. FITZPATRICK,start_answer
25,220,9,23,Yes.,a,THE WITNESS,start_question
26,221,9,24,-- in your estimation?,q,MR. FITZPATRICK,start_answer
27,224,10,1,Yes.,a,THE WITNESS,start_question
28,225,10,2,"And what business does Smith Marine, Incorporated engage in?",q,MR. FITZPATRICK,start_answer
29,227,10,4,Smith Marine is a marine contracting company.  We support many marine projects such as we provide tugboats and -- I have to ask.  Am I looking at you or --,a,THE WITNESS,start_question
30,231,10,8,"You can look in any direction you like.  I actually do not insist that a deponent -- whatever makes the deponent more comfortable.  If you would like to look at Mr. Bromley, that's perfectly fine.",q,MR. FITZPATRICK,start_answer
31,235,10,12,"I feel like I should look at you, but I realize I don't have to look at you.",a,THE WITNESS,start_question
32,237,10,14,"And if you would like to look at our court reporter, that's fine, if it's fine with her.  It's just fine.",q,MR. FITZPATRICK,start_answer
33,240,10,17,I'll look at everybody.,a,THE WITNESS,start_question
34,241,10,18,That's fine.,q,MR. FITZPATRICK,start_answer
35,242,10,19,"Back to the question.  So Smith Marine is a marine contracting company.  We have barges and tugboats and specialize in a variety of marine consulting and marine contracting.  We provide tugboats to assist with dredge projects.  We do coastal towing.  We do pier building.  We do pile driving, drill support, bridge inspections with MassDOT, Rhode Island DOT.  Marine contracting is a wide variety of services and equipment that we offer.",a,THE WITNESS,start_question
36,253,11,4,"And does Smith Marine -- by the way, I'll refer to ""Smith Marine, Incorporated,"" the defendant in this lawsuit that we referenced at times just as ""Smith Marine"" or as ""SMI.""  Is that okay?",q,MR. FITZPATRICK,start_answer
37,257,11,8,Sure.  Absolutely.,a,THE WITNESS,start_question
38,258,11,9,"Okay.  And does Smith Marine own a tugboat called the M, backslash V, as in Victor, Meridian, M as in Mike, E-R-I, D as in delta, I-A, N as in November?",q,MR. FITZPATRICK,start_answer
39,262,11,13,Correct.  Yes.,a,THE WITNESS,start_chat
40,263,11,14,We'll have this marked as the next exhibit.,side_chat,MR. FITZPATRICK,is brackets
41,266,11,17,"(Exhibit No. 2, Photographs and Specs of the Meridian, marked for identification)",brackets,,start_question
42,270,11,21,And I've just put in front of you what's been marked as Exhibit 2 for today's deposition.  Can you identify what that eight-page photocopied document is?,q,MR. FITZPATRICK,start_answer
43,276,12,1,"It's photographs and specs of our towing vessel, the Meridian.",a,THE WITNESS,start_question
44,278,12,3,Does this appear to be pulled from the Smith Marine website?,q,MR. FITZPATRICK,start_answer
45,280,12,5,"Yes, it does.",a,THE WITNESS,start_question
46,281,12,6,And did you own -- did Smith Marine own the Meridian back in 2014 and 2015?,q,MR. FITZPATRICK,start_answer
47,283,12,8,We do own the Meridian with a note to our bank.,a,THE WITNESS,start_question
48,285,12,10,But it was under your operation -- under Smith Marine's operation and control?,q,MR. FITZPATRICK,start_answer
49,287,12,12,"Yes, absolutely.",a,THE WITNESS,start_question
50,288,12,13,"All right.  And I'm going to ask you what the total horsepower of the Meridian is, and please feel free to refer to this printout from the Smith Marine website to refresh your memory if you're not sure.",q,MR. FITZPATRICK,start_answer
51,293,12,18,Fourteen hundred.  Two 700-horsepower twin diesels.,a,THE WITNESS,start_question
52,295,12,20,"So the Meridian has two twin diesel engines of 700 horsepower each for a total horsepower for the Meridian of 1,400 horsepower; is that correct?",q,MR. FITZPATRICK,start_answer
53,299,12,24,Yes.,a,THE WITNESS,start_question
54,302,13,1,Could you please describe Smith Marine's involvement in the Royal River Project in 2014 through 2015?,q,MR. FITZPATRICK,start_answer
55,305,13,4,Smith Marine was hired by Burnham Associates to tend the dredge equipment.,a,THE WITNESS,start_question
56,307,13,6,In what way?,q,MR. FITZPATRICK,start_answer
57,308,13,7,In the manner of -- or in the way of moving the barges out to the offload site and back into the jobsite.,a,THE WITNESS,start_question
