,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," any testimony regarding patient outcomes.  And to the extent that patients are identified, we ask that they use their initials. EXAMINATION",,,start_question
1,131,4,12,"Okay.  Doctor, this is Jason Archinaco.  I'm at a different location than you, so if you have a difficulty hearing me for any reason, please let me know.",q,MR. ARCHINACO,start_answer
2,135,4,16,Sure.,a,THE WITNESS,start_question
3,136,4,17,Can you please state your full name for the record?,q,MR. ARCHINACO,start_answer
4,138,4,19,Steven Richard Bruhl.,a,THE WITNESS,start_question
5,139,4,20,And where are you currently employed?,q,MR. ARCHINACO,start_answer
6,141,4,22,Mercy Health-Tiffin Hospital.,a,THE WITNESS,start_question
7,142,4,23,"And are you directly employed by that entity, Mercy Health-Tiffin Hospital?",q,MR. ARCHINACO,start_answer
8,144,4,25,"Yes.  I have actually multiple -- I'm a chief medical officer of the hospital. CHP, which you may not care about, but as a sub -- it employs the physicians, but yes, it's all a Mercy Health entity.",a,THE WITNESS,start_question
9,150,5,5,"Okay.  What I was asking is, though, that your paycheck comes from Mercy Health-Tiffin Hospital?",q,MR. ARCHINACO,start_answer
10,153,5,8,"Technically, from MHP, Mercy Health Physicians.  My CMO funds come from the hospital, but it doesn't say Mercy Health-Tiffin Hospital on it.",a,THE WITNESS,start_question
11,157,5,12,"Okay.  So your paycheck comes from Mercy, or your paycheck comes with Mercy Health Physicians on it?",q,MR. ARCHINACO,start_answer
12,160,5,15,"That is my understanding, correct.",a,THE WITNESS,start_question
13,162,5,17,And that's an entity that is related to Mercy?,q,MR. ARCHINACO,start_answer
14,164,5,19,Yes.,a,THE WITNESS,start_question
15,165,5,20,"And who -- who else does that entity employ, to your knowledge?",q,MR. ARCHINACO,start_answer
16,167,5,22,"Well, all employed physicians, there are just a handful in the hospital that I work at, but I mean, there is thousands of doctors that are employed by Mercy Health Physicians.",a,THE WITNESS,start_question
17,173,6,2,"Okay.  And I have a little background in -- in hospitals and things of that nature, so I do kind of understand what you're discussing.  But I do want to ask a couple more questions.",q,MR. ARCHINACO,start_answer
18,178,6,7,Sure.,a,THE WITNESS,start_question
