,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0,,,,start_chat
1,137,4,12,"I would join in that objection.  And for the record, I'm Kyle Silvers representing Mr. Porterfield. EXAMINATION",side_chat,MS. SILVERS,start_question
2,142,4,17,"Mr. Porterfield, could you state your full name for the record, please?",q,MR. ARCHINACO,start_answer
3,144,4,19,John Scott Porterfield.,a,THE WITNESS,start_question
4,145,4,20,"And are you currently employed, or have you retired?",q,MR. ARCHINACO,start_answer
5,147,4,22,"I'm semi-retired.  I have a company that does practice management, and occasionally I get a call to do something, but it hasn't happened in a while.",a,THE WITNESS,start_question
6,152,5,1,So you're moving into retirement?,q,MR. ARCHINACO,start_answer
7,153,5,2,Pretty much.,a,THE WITNESS,start_question
8,154,5,3,"Fair enough. The events that we'll be talking about today occurred during time periods when I believe you were employed by the Toledo Clinic, Inc.",q,MR. ARCHINACO,start_answer
9,159,5,8,Yes.,a,THE WITNESS,start_question
10,160,5,9,"And how long were you employed at Toledo Clinic, Inc.?",q,MR. ARCHINACO,start_answer
11,162,5,11,"I -- I was employed from October 28, 2010 until December 15th, 2015.",a,THE WITNESS,start_question
12,164,5,13,"And when you left Toledo Clinic, that was when you went to basically transitioning to semi-retirement?",q,MR. ARCHINACO,start_answer
13,167,5,16,"I did some consulting for a couple of years, and then I didn't, so ....",a,THE WITNESS,start_question
14,169,5,18,Was your departure amicable?,q,MR. ARCHINACO,start_answer
15,170,5,19,I wouldn't say that.,a,THE WITNESS,start_question
16,171,5,20,"Okay.  Well, we'll get to that later then.  I'm going to try to go through --",q,MR. ARCHINACO,start_answer
17,173,5,22,Okay.,a,THE WITNESS,start_question
18,174,5,23,-- things in chronological order for you.,q,MR. ARCHINACO,start_answer
19,176,5,25,Sure.,a,THE WITNESS,start_question
20,178,6,1,"Can you just give me a little, some background in terms of your educational background and training?",q,MR. ARCHINACO,start_answer
21,181,6,4,"I have a graduate degree in public administration.  I trained to be a city manager, but I spent 45 years in healthcare, and that's how that goes.  I have worked overseas in healthcare, I worked for University Hospitals of Cleveland, in the early '80s.  I was kind of their ambulatory services guy, outpatient guy.  And I moved, relocated to Sylvania in 1988, and got a position as a VP at Flower in physician services. I've spent all my adult life working on the physician side of the equation, usually with the hospitals.  And then, you know, I -- we merged, that's the wrong word, but we merged with The Toledo Hospital in January of '96.  And then three years later, they -- I moved to work for a company owned by St. Luke's called Providers Solutions.  I worked there for about three years.  They decided to close the company, and I bought it. And that was a really good -- that was a -- it still is a good company, it's just not the size it -- 2008 kind of wiped everybody out. And my clients were all physicians, and they started baling to hospital systems, because there is just -- it's safer there, so they thought. And then I was approached by the president of the clinic around 2010 to apply for the administrator job at the clinic, and I did, and I got it.  And so that's what I did for that stretch of five years.",a,THE WITNESS,start_question
22,215,7,12,Okay.  Let me go through some general back -- have you ever given a deposition before?,q,MR. ARCHINACO,start_answer
23,218,7,15,Yes.,a,THE WITNESS,start_question
24,219,7,16,Okay.  What type of case?,q,MR. ARCHINACO,start_answer
25,220,7,17,Medical.,a,THE WITNESS,start_question
26,221,7,18,Malpractice type matters or -- or business?,q,MR. ARCHINACO,start_answer
27,223,7,20,"One was -- I can't really recall. One was angry physicians, and you know, suing his former employer.",a,THE WITNESS,start_question
28,226,7,23,"Got it.  I'm going to go through basic ground rules.  There is a videographer, but the court reporter is the official transcript, so the formatting is question, then potential objection from your counsel, or Mr. Wiencek.  Give them a chance to make an objection.  If they're making an objection, let them finish it.  Normally, you can answer the question after objections are made, unless your counsel directs you not to answer a question.",q,MR. ARCHINACO,start_answer
29,238,8,9,Okay.,a,THE WITNESS,start_question
30,239,8,10,"So normally you'll answer, even if there is an objection, relevance, whatever. But try to keep it in that format. You and I will probably get a little colloquial.  My client says you're an easy guy to speak to, so we might get a little colloquial.  And when that happens, we start talking over one another, even if we're not trying to insult each other.  It becomes more conversational.  The court reporter has a difficult time.  She'll throw her hands in the air and tell us not to, so we'll try to keep that idea in mind of question, give the opportunity for the objection, then answer. If you answer a question, I'll assume you both heard and understood it.  And if for some reason so you don't hear or understand a question, please let me know. And then the last thing is to keep your answers audible.  Some people get into nods and shakes of the head, and have to be reminded, but as long as you keep your answers audible, we're fine.  So those are the basic rules. You also have attorney-client privilege.  Even though you're a former employee, during periods in time that you were employed there, and there is other parameters, you have an attorney representing you today, so I'm not trying to inquire about privilege matters, or your actual conversations with counsel today.  I'm just trying to seek your independent information.  Fair?",q,MR. ARCHINACO,start_answer
31,273,9,18,Okay.,a,THE WITNESS,start_question
32,274,9,19,Okay.  In terms of -- where did you graduate from college?,q,MR. ARCHINACO,start_answer
33,276,9,21,Western Michigan University.,a,THE WITNESS,start_question
34,277,9,22,"And so going back a second, just to go back, when you said 2008 wiped everyone out, what were you speaking about?",q,MR. ARCHINACO,start_answer
35,280,9,25,"Well, you know, the stock market, the banks, it was a big push, and it just, you know, in small business, there is the quick and the dead.  That's about it.  So I survived it, but I lost about probably 60 percent of my clients right away.  And so I had to downsize and keep moving, and I mean, a little bit of downsizing, a smaller space, and it got harder to make a living.",a,THE WITNESS,start_question
36,290,10,9,"And when you said you worked on -- and I just want to hit on one other point, in terms of a trend, I think you were pointing out, which was that physicians at one time were more independent groups, and then there was a flight or movement towards hospitals. Is that right?",q,MR. ARCHINACO,start_answer
37,297,10,16,That's my opinion.,a,THE WITNESS,start_question
38,298,10,17,When -- when did you start noticing that?,q,MR. ARCHINACO,start_answer
39,300,10,19,"About two -- well, in Toledo, it's been cyclical over the years.  It literally has.  Because in the early '90s, ProMedica and Mercy started employing physicians.  And then they -- they went back and forth.  I worked for Flower Hospital.  We employed them, but we didn't have as many as those two groups, and we didn't build medical office buildings like they did.  We rented space.  And my physicians were happier than the ones working for the other system. We didn't have a noncompete, because I didn't believe in them, so my guys could go anywhere they wanted.  And the model worked really well.",a,THE WITNESS,start_question
40,316,11,9,"And you saw -- did you also see sort of a movement towards the large medical institutions acquiring or becoming -- strike that. Did you also see the fact that a ProMedica and Mercy, for example, each have their own insurance programs, or programs that would direct clients to them?",q,MR. ARCHINACO,start_answer
41,324,11,17,I believe ProMedica had Paramount.  I'm not sure whether Mercy had their own insurance plan or not.,a,THE WITNESS,start_question
42,327,11,20,"ProMedica basically created like a captive insurance, so to say?",q,MR. ARCHINACO,start_answer
43,329,11,22,They did.,a,THE WITNESS,start_question
44,330,11,23,"And then so when they did that, when patients would be ProMedica-insured patients, typically, those patients, just to your knowledge, would be referred to ProMedica institutions?",q,MR. ARCHINACO,start_answer
