,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," IMO Industries, Inc. to Plaintiffs' Third Amended Notice of Taking Deposition, marked for Identification.)",,,start_question
1,265,11,3,"Good morning, sir.",q,,start_answer
2,266,11,4,Good morning.,a,THE WITNESS,start_question
3,267,11,5,"You and I have met once before, but my name is David Greenstone.  Would you please state your full name for the record?",q,,start_answer
4,270,11,8,Richard Salzmann.,a,THE WITNESS,start_question
5,271,11,9,"You understand that you are here giving your testimony today in two cases, the Kenneth Balthazar case and the Charles McDaniel case?",q,,start_answer
6,275,11,13,Yes.,a,THE WITNESS,start_question
7,276,11,14,"Is it accurate that you are here as the corporate representative of IMO Industries, Inc.?",q,,start_answer
8,279,11,17,Yes.,a,THE WITNESS,start_question
9,280,11,18,"Can we agree for purposes of this deposition that when we're talking about IMO Industries, Inc. we are also talking about De Laval Steam Turbine Company?",q,,start_answer
10,284,11,22,Yes.,a,THE WITNESS,start_question
11,285,11,23,"And probably for most of the deposition I will actually refer to De Laval or De Laval Steam Turbine Company.  Is that appropriate and will you understand that I'm referring to IMO Industries, Inc., the company that you are the corporate representative for?",q,,start_answer
12,293,12,6,Yes.,a,THE WITNESS,start_question
13,294,12,7,"You understand here that you are speaking on behalf of IMO Industries, Inc. and De Laval Steam Turbine Company, true?",q,,start_answer
14,298,12,11,Yes.,a,THE WITNESS,start_question
15,299,12,12,"And it's your understanding that you have authority to speak on behalf of IMO Industries, Inc. and De Laval Steam Turbine Company, true?",q,,start_answer
16,303,12,16,"Yes, I believe that's correct.",a,THE WITNESS,start_question
17,304,12,17,"Just so it's clear for the ladies and gentlemen of the jury, when you are talking today, you are talking as the corporation, you are talking as IMO Industries, Inc. and De Laval Steam Turbine Company, fair?",q,,start_answer
18,310,12,23,"If that's the definition of the corporate rep, then yes.",a,THE WITNESS,start_question
19,313,13,1,"It's your understanding that you are in fact the corporate representative, true?",q,,start_answer
20,316,13,4,That's correct.,a,THE WITNESS,start_question
21,317,13,5,"I'm going to talk to you about three basic topics for purposes of this deposition.  The first topic is going to De Laval's historical knowledge about the dangers of asbestos.  The second topic is going to be De Laval's conduct or how they responded relating to asbestos and the third topic is going to be related to De Laval pumps and turbines that had asbestos components or utilized asbestos insulation, okay?",q,,start_answer
22,328,13,16,Okay.,a,THE WITNESS,start_question
23,329,13,17,"I want to start out before I get there with some preliminary matters. First of all, is it accurate, sir, that De Laval Steam Turbine Company was a seller and manufacturer of products that had asbestos components for more than 50 years?",q,,start_chat
24,335,13,23,Objection to form.,side_chat,MR. COLAO,start_answer
25,336,13,24,"I'm not sure of the exact time, but we built precision mechanical equipment some of which contains small and/or medium size components that contained asbestos.",a,THE WITNESS,start_question
26,341,14,4,"We'll get to the years -- well, De Laval as far as you know started selling equipment with asbestos components at least as early as the 1930s, true?",q,,start_answer
27,345,14,8,That's correct.,a,THE WITNESS,start_question
28,346,14,9,"They continued to sell these products with asbestos components without interruption until the 1980s, true?",q,,start_answer
29,349,14,12,"It depends on the component, but some yes.",a,THE WITNESS,start_question
30,351,14,14,"If we start in the thirties and end in the eighties, it's accurate that for over 50 years De Laval Steam Turbine Company manufactured and sold equipment that had asbestos components, true?",q,,start_answer
31,356,14,19,"Some, yes.",a,THE WITNESS,start_question
32,357,14,20,"In fact, De Laval also sold asbestos products themselves, true?",q,,start_answer
33,359,14,22,"In some cases where spare parts were included as part of customer's orders, that may be true.",a,THE WITNESS,start_question
34,363,15,1,"For example, I guess we need a little bit of background.  When you were talking about the asbestos components that were utilized in some De Laval pumps and turbines, you are referring to in some occasions asbestos gaskets and asbestos packing material, true?",q,,start_answer
35,370,15,8,That's correct.,a,THE WITNESS,start_question
36,371,15,9,"In addition to actually selling the pump or the turbine with that piece of asbestos component inside it, De Laval on occasion also sold spare parts which would have been just the asbestos gasket or the asbestos packing as requested by a customer?",q,,start_chat
37,377,15,15,Objection to form.,side_chat,MR. COLAO,start_question
38,378,15,16,True?,q,,start_answer
39,379,15,17,"That's possible on some occasions, yes.",a,THE WITNESS,start_question
40,381,15,19,"In fact, you know that De Laval Steam Turbine Company made available asbestos gaskets and asbestos packing for sale, true?",q,,start_chat
