,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0, follows:,,,symbols
1,369,11,1,* * * * * EXAMINATION CONDUCTED,symbols,,start_question
2,372,11,4,"Okay.  Sir, I'm going to put a few things on the record just with your attorney first.  All right?",q,MS. VELLUCCI,start_answer
3,375,11,7,Sure.,a,THE WITNESS,start_chat
4,376,11,8,"Chris, will you agree to the usual stipulations?",side_chat,MS. VELLUCCI,start_chat
5,378,11,10,Yes.,side_chat,MR. MEISENKOTHEN,start_chat
6,379,11,11,And I'll put those on the record just so we have them.  And that's that an objection by one defendant is good for all.,side_chat,MS. VELLUCCI,start_chat
7,383,11,15,Right.,side_chat,MR. MEISENKOTHEN,start_chat
8,384,11,16,"That all objections, except as to form, are reserved.",side_chat,MS. VELLUCCI,start_chat
9,386,11,18,Right.,side_chat,MR. MEISENKOTHEN,start_chat
10,387,11,19,"And same with motions to strike, they're reserved.",side_chat,MS. VELLUCCI,start_chat
11,389,11,21,Right.,side_chat,MR. MEISENKOTHEN,start_chat
12,390,11,22,"And because we're kind of doing this deposition shortly after the complaint was filed, there are a number of defendants that have not yet been served, so an appearance at this deposition, it's our position that it doesn't waive any defenses as to service of process.",side_chat,MS. VELLUCCI,start_chat
13,398,12,5,"And the usual, I reserve my right to argue otherwise, if I have to, but that's fine.",side_chat,MR. MEISENKOTHEN,start_chat
14,401,12,8,"Okay.  And lastly, with respect to Judge Bellis's rule, that only Connecticut licensed attorneys can be here.  If you are not licensed in Connecticut, you just let Chris or I know right away and otherwise we will proceed.",side_chat,MS. VELLUCCI,start_chat
15,407,12,14,Right.,side_chat,MR. MEISENKOTHEN,start_question
16,408,12,15,"Sir, can you please state your full name for me, please.",q,MS. VELLUCCI,start_answer
17,410,12,17,"Joseph A. Sazanowicz, Jr.",a,THE WITNESS,start_question
18,411,12,18,"And what does the ""A"" stand for?",q,MS. VELLUCCI,start_answer
19,412,12,19,Anthony.,a,THE WITNESS,start_question
20,413,12,20,And what's your date of birth?,q,MS. VELLUCCI,start_answer
21,414,12,21,11/23/1954.,a,THE WITNESS,start_question
22,415,12,22,And are the last four digits of your Social Security number 2690?,q,MS. VELLUCCI,start_answer
23,417,12,24,Correct.,a,THE WITNESS,start_question
24,419,13,1,"Can you tell me your address, please?",q,MS. VELLUCCI,start_answer
25,420,13,2,"4 Florence Lane, Plantsville, Connecticut.",a,THE WITNESS,start_question
26,422,13,4,And that's where we are today?,q,MS. VELLUCCI,start_answer
27,423,13,5,Correct.,a,THE WITNESS,start_question
28,424,13,6,"And how long have you lived here, sir?",q,MS. VELLUCCI,start_answer
29,425,13,7,35 --,a,THE WITNESS,start_chat
30,426,13,8,3.,side_chat,MS. SAZANOWICZ,start_answer
31,427,13,9,33 years.,a,THE WITNESS,start_question
32,428,13,10,Okay.  And have you ever been deposed before?,q,MS. VELLUCCI,start_answer
33,430,13,12,Yes.,a,THE WITNESS,start_question
34,431,13,13,And was that in connection with a lawsuit or your job?,q,MS. VELLUCCI,start_answer
35,433,13,15,In connection with a law enforcement lawsuit.,a,THE WITNESS,start_question
36,435,13,17,"Were you a party to the lawsuit, or were you a witness?",q,MS. VELLUCCI,start_answer
37,437,13,19,I was a party to the lawsuit.,a,THE WITNESS,start_question
38,438,13,20,And when was that?,q,MS. VELLUCCI,start_answer
39,439,13,21,"Oh, it was quite a while ago, 20 years maybe.  20 years ago.",a,THE WITNESS,start_question
40,441,13,23,"Okay.  I'm going to go through just a couple of admonitions that your attorney may have already gone through with you.  It's just important that you verbalize all of your responses.  We have a court reporter taking down everything I'm saying and you're saying. And if I do remind you, if you do nod or shake your head and I remind you, I don't mean it to be rude.  It's just so that we have a clear record.  Okay?",q,MS. VELLUCCI,start_answer
41,452,14,9,Yes.,a,THE WITNESS,start_question
42,453,14,10,"All right.  And it's also important that we don't speak over one another, so I'll do my best to wait until you finish answering before I ask a question, and I just ask that you wait until I finish a question before you answer.  Okay?",q,MS. VELLUCCI,start_answer
43,459,14,16,Yes.,a,THE WITNESS,start_question
44,460,14,17,"If I've asked a question and you answer it, I'm going to assume that you understood it; is that fair?",q,MS. VELLUCCI,start_answer
45,463,14,20,Yes.,a,THE WITNESS,start_question
46,464,14,21,"And I just ask that -- I'm going to be asking you questions that go back aways to the '60s and the '70s.  If at any point you don't know the answer, feel free to just say I don't know.  Okay?",q,MS. VELLUCCI,start_answer
