,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," the deponent herein, having first been duly sworn on oath, was examined and testified as follows: EXAMINATION",,,start_question
1,96,4,8,"Good afternoon, Doctor.  We met a few minutes ago. I am taking your deposition today, and I am going to assume that I don't need to give you instructions on testifying at a deposition.  Am I correct?",q,MR. ZAKEOSIAN,start_answer
2,102,4,14,Right.,a,THE WITNESS,start_question
3,103,4,15,"If we need to straighten anything out, we'll do it along the way. Your title here is the Chief of the Division of Cardiothoracic Surgery?",q,MR. ZAKEOSIAN,start_answer
4,107,4,19,Correct.,a,THE WITNESS,start_question
5,108,4,20,"And you're an M.D., correct?",q,MR. ZAKEOSIAN,start_answer
6,109,4,21,Yes.,a,THE WITNESS,start_question
7,110,4,22,And you're an employee of duPont/Nemours?,q,MR. ZAKEOSIAN,start_answer
8,112,4,24,Correct.,a,THE WITNESS,start_question
9,114,5,1,Did you review any records in preparation for your deposition today?,q,MR. ZAKEOSIAN,start_answer
10,116,5,3,I just looked at my operative report.,a,THE WITNESS,start_question
11,118,5,5,And from what date?,q,MR. ZAKEOSIAN,start_answer
12,119,5,6,I believe they're in March 2014.,a,THE WITNESS,start_question
13,120,5,7,"Well, I have one that I'm going to show you from the 27th.  That's your original --",q,MR. ZAKEOSIAN,start_answer
14,123,5,10,Operative report?,a,THE WITNESS,start_question
15,124,5,11,"-- procedure, right.  And then the second one is from the 29th, which was when you were called emergently in.  Okay?",q,MR. ZAKEOSIAN,start_answer
16,127,5,14,Okay.,a,THE WITNESS,start_question
17,128,5,15,"So aside from the records that you reviewed, do you have any recollection of Lily Lynn Trudnak and recollection of events that occurred on March 29th when you were called in emergently?",q,MR. ZAKEOSIAN,start_answer
18,133,5,20,Some.,a,THE WITNESS,start_question
19,134,5,21,Some.  Okay.  All right. What do you recall about it?,q,MR. ZAKEOSIAN,start_answer
20,136,5,23,"This was a patient with tetralogy of Fallot and some respiratory issues who came from Connecticut Children's Hospital. And I remember receiving a phone call from a physician who used to be a trainee here stating that they had this complex case, that it was, you know, turning to sort of an unmanageable situation for them. And the baby had several cardiac arrests and hypoxic episodes and was paralyzed, and they had a very difficult time providing adequate ventilation. And the patient had tetralogy of Fallot that needed to have repair, and so the expertise, seemingly after a conversation, of that institution was that was not present there and that they were seeking for the opportunity to get care somewhere else.",a,THE WITNESS,start_question
21,157,6,19,"Okay.  And she was admitted to duPont specifically for the cardiac surgery, as I recall.  Is that correct?",q,MR. ZAKEOSIAN,start_answer
22,160,6,22,I believe so.,a,THE WITNESS,start_question
23,161,6,23,Okay.  What was her condition like preoperatively as far as her neurologic picture?  Do you recall?,q,MR. ZAKEOSIAN,start_answer
24,165,7,2,"Hard to say considering that this is a patient who is mechanically ventilated, sedated.  It's a newborn, and therefore besides gross motor movements and opening eyes, certainly not -- I wouldn't be able to give you more information than that.",a,THE WITNESS,start_question
25,172,7,9,Okay.  Understood. I want you to look at your report of the 27th.  And I will find that for you.  Unfortunately I didn't bring -- I should have brought a separate mouse for you.,q,MR. ZAKEOSIAN,start_answer
26,178,7,15,"Now, you control this, or I do?",a,THE WITNESS,start_question
27,179,7,16,I control.,q,MR. ZAKEOSIAN,start_answer
28,180,7,17,Okay.,a,THE WITNESS,start_question
29,181,7,18,"But next time I do this I'm going to bring a mouse for my deponent so they can do that. So this is the beginning of your operative report, and can you see it?",q,MR. ZAKEOSIAN,start_answer
30,186,7,23,Yeah.,a,THE WITNESS,start_question
31,187,7,24,"Okay.  So this is the report you were referring to, the first document that you reviewed.  Is that correct?",q,MR. ZAKEOSIAN,start_answer
32,191,8,3,Correct.,a,THE WITNESS,start_question
33,192,8,4,"Okay.  So the report speaks for itself.  For the record, this is Bates No. 152, and it continues.  It's a report signed by Dr. Christian Pizarro, and it's of a procedure dated 3/27/2014.  The note was submitted or signed or filed, it looks like at the top left, at 4/7/2014.  And it describes an operation that occurred on March 27, 2014. In the category under surgeon and assistant, you're listed as the surgeon.  There's a Dr. Glenn Pelletier listed.  Who is Dr. Pelletier?",q,MR. ZAKEOSIAN,start_answer
34,205,8,17,He's another cardiothoracic surgeon who works here.,a,THE WITNESS,start_question
35,207,8,19,Okay.  He's full-time here?,q,MR. ZAKEOSIAN,start_answer
36,208,8,20,Yes.,a,THE WITNESS,start_question
37,209,8,21,Okay.  And Edward Woodford I had the pleasure of meeting a week or two ago. He is a physician assistant that works with your department regularly.  Is that correct?,q,MR. ZAKEOSIAN,start_answer
38,215,9,2,Correct.,a,THE WITNESS,start_question
39,216,9,3,"And John Ostrowski was the anesthesiologist, correct?",q,MR. ZAKEOSIAN,start_answer
40,218,9,5,I believe so.,a,THE WITNESS,start_question
41,219,9,6,Okay.  That's what's listed here.,q,MR. ZAKEOSIAN,start_answer
42,220,9,7,Yeah.,a,THE WITNESS,start_question
43,221,9,8,All right.  And you've had the opportunity to review this report.  Was there any particular difficulty -- and I'm putting it in a layperson's term.  I don't pretend to have the expertise that you have in the ins and outs of intricate surgery like this.  But was this a procedure that went pretty much as you expected it to go?,q,MR. ZAKEOSIAN,start_answer
44,229,9,16,Yes.,a,THE WITNESS,start_question
45,230,9,17,"Okay.  No particular problems with this surgery per se, correct?",q,MR. ZAKEOSIAN,start_answer
46,232,9,19,"No.  I would say that, yeah, things went according to plan.  The patient had, you know, a good anatomic repair, and it seems like cardiac function was good and there were no issues to the point that we closed the chest.  Any time we will have a concern, we'll leave the chest open.",a,THE WITNESS,start_question
47,240,10,2,Right.,q,MR. ZAKEOSIAN,start_answer
48,241,10,3,"And so, yeah, no.",a,THE WITNESS,start_question
49,242,10,4,"Okay.  And it's also mentioned in here sort of in the middle of the page I'm showing there that there was assistance of Dr. Baffa.  I understand that Dr. Baffa is an intensivist, cardiology intensivist.  Is that correct?",q,MR. ZAKEOSIAN,start_answer
50,248,10,10,No.,a,THE WITNESS,start_question
51,249,10,11,What is Dr. Baffa's specialty?,q,MR. ZAKEOSIAN,start_answer
52,250,10,12,"She's a cardiologist who has special training in imaging, so she's the person who helped with the assessment of my echocardiogram at the end of the procedure.",a,THE WITNESS,start_question
53,254,10,16,"Okay.  And that was an epicardial echocardiogram, correct?",q,MR. ZAKEOSIAN,start_answer
54,256,10,18,Yes.,a,THE WITNESS,start_question
55,257,10,19,Baby's esophagus was too small to pass the scope?,q,MR. ZAKEOSIAN,start_answer
56,259,10,21,"Well, there was a concern about the size of the baby as well as the fact that the airway was questionable, and therefore we didn't want to add any potential encumbering, you know, issue associated with that.  So, you know, a probe is generally not designed for patients of this size, so they tend to be oversized, and that's a problem.",a,THE WITNESS,start_question
57,269,11,6,"And if I may, what was your understanding of the airway problem that this baby had?",q,MR. ZAKEOSIAN,start_answer
58,272,11,9,"Well, the baby received a tracheostomy at the previous institution because of the difficulties that they had in spite of that.  The patient did have several episodes when it was important, desaturation that led to arrest, and therefore that was part of the issue is the cardiac defect was the respiratory problem, anatomic problem. And therefore when the patient came we evaluated that, you know, anew and we established that obviously the tracheostomy provided a good access to the airway and that the airway in fact were not all that small. And the patient at the time had an annoying, you know, infection with Serratia, which is a Gram-negative organism that makes -- obviously could aggravate matters, and that was, you know, being treated. But we thought that considering the ability to ventilate effectively, the presence of a concurrent infectious inflammatory process in the airway, it certainly would not be, you know, an absolute mandate to try to tackle the cardiac defect and the airway surgery at the same time considering the fact that that combination certainly has far important morbidity, mortality, and risk compared to just the isolated cardiac surgery. So we thought that that was certainly not something that we should try to address at that particular time.",a,THE WITNESS,start_question
59,309,12,21,"Understood.  And you note that the area, actually the area of her trachea, cross-sectional area had increased over time.  Is that correct?  You said there was, I think in the sixth line from the bottom or seventh line, significant increase in size compared to the previous study from seven weeks before?",q,MR. ZAKEOSIAN,start_answer
60,318,13,5,Seemingly.,a,THE WITNESS,start_question
61,319,13,6,"Right.  And you then went to the trouble in your history here of explaining particularly, I think as you stated, why you did not want to do any particular tracheal intervention as far as a tracheal reconstruction at that time, the same time that you were performing the cardiac surgery, but that you would rather reassess that at a later date.  Is that correct?",q,MR. ZAKEOSIAN,start_answer
62,328,13,15,Correct.,a,THE WITNESS,start_question
63,329,13,16,"Okay.  All right. So moving on, what -- I know the reason, but what is the reason that in this procedure and in other cardiac procedures where patients come to the operating room with a tracheostomy and they need a median sternotomy, what's the reason that the tracheostomy tube is removed at that time?",q,MR. ZAKEOSIAN,start_answer
64,339,14,1,"Well, generally speaking it's severalfold, but importantly you want to, A, have the anesthesiologist get direct access to the airway, which would be in the face, correct?",a,THE WITNESS,start_question
65,344,14,6,Correct.,q,MR. ZAKEOSIAN,start_answer
66,345,14,7,"And therefore easier than, you know, below the chin, particularly in a patient who is about 50 centimeters long. So that goes without saying. The second is the fact that ideally you want to -- you know, there is a risk of contamination and deep-seated mediastinal wound infection every time you have a contaminated source, you know, immediately adjacent to the sternotomy. So ideally you want to see if you could create some form of a barrier to separate those two, and so it's impossible to do with a tracheostomy in place. And therefore generally we will just take the tracheostomy out, if feasible intubate a patient, you know, orally or nasotracheally, you know, from above, and then seal this and then prep the sternum -- I mean the chest where the sternotomy is going to take place.  So --",a,THE WITNESS,start_question
67,367,15,4,To your knowledge was there any difficulty on the part of the anesthesiologist in exchanging the tubes?,q,MR. ZAKEOSIAN,start_answer
68,370,15,7,I have no recollection.,a,THE WITNESS,start_question
69,371,15,8,Okay.  So then --,q,MR. ZAKEOSIAN,start_answer
70,372,15,9,"It wasn't brought up to me, but I have no idea.",a,THE WITNESS,start_question
71,374,15,11,Okay.  Is that something if there was a problem that you would have noted in your -- put in your operative note?,q,MR. ZAKEOSIAN,start_answer
72,377,15,14,"Not in my note, but it would be probably noted by the anesthesiologist, I would imagine.",a,THE WITNESS,start_question
73,380,15,17,Fair enough. At some point then postoperatively a tracheostomy patient with need for a tracheostomy is going to have a tracheostomy tube reinserted.  Is that correct?,q,MR. ZAKEOSIAN,start_answer
74,386,15,23,Yeah.,a,THE WITNESS,start_question
75,387,15,24,"Do you have or is there at duPont here -- I'll do this separately.  Is there at duPont any policy, procedure, or protocol for how long after the initial cardiac operation one should wait before reinserting the tracheostomy?",q,MR. ZAKEOSIAN,start_answer
76,394,16,6,"I'm not sure of a written policy. I think that in general as a medical guideline we operate, you know, under the principle that generally if all is well, within, you know, 24 to 48 hours we will reinsert a tracheostomy considering the fact that it's amazing how quickly a tracheostomy orifice will close down. And then once that starts happening and you're trying to dilate and put this foreign body there again, there is possibility of bleeding, et cetera, et cetera, and that's the last thing we want, is blood in the airway, particularly in someone who has these kind of, you know, issues. So I would say the norm is probably 48 hours, you know, give or take.",a,THE WITNESS,start_question
77,412,16,24,I think you said maybe even as early as 24.  Is that correct?,q,MR. ZAKEOSIAN,start_answer
78,415,17,2,"If everything is well, yeah.",a,THE WITNESS,start_question
79,416,17,3,"Well, I looked at the date involved here.  The surgery was on 3/27.  That was a Thursday.",q,MR. ZAKEOSIAN,start_answer
80,419,17,6,Okay.,a,THE WITNESS,start_question
81,420,17,7,"The procedure that we're concerned with where you were called in emergently was on the 29th, which was a Saturday.",q,MR. ZAKEOSIAN,start_answer
