,indice,page_number,line_number,text,text_type,speaker,time_added
0,0,0,0," by the Certified Court Reporter, testified as follows:",,,symbols
1,129,5,8,///// EXAMINATION,symbols,,start_question
2,132,5,11,"Good morning, Dr. Silzars.  My name is Jerry Tice, and I represent the plaintiff in this matter. Thank you for being here this morning. Could you please introduce yourself for the Court?",q,MR. TICE,start_answer
3,136,5,15,"Dr. Aris Silzars, A-R-I-S S-I-L-Z-A-R-S.",a,THE WITNESS,start_question
4,137,5,16,Okay.  Do you know why you're here today?,q,MR. TICE,start_answer
5,138,5,17,My understanding is that you wish to pose some questions regarding a declaration that I provided.,a,THE WITNESS,start_question
6,140,5,19,Which declaration did you provide?,q,MR. TICE,start_answer
7,141,5,20,I believe this would be the one with regard to the '327 patent.,a,THE WITNESS,start_question
8,143,5,22,Okay.  And do you understand that you're testifying under oath today in the same manner that you would be in a courtroom in front of a jury?,q,MR. TICE,start_answer
9,146,5,25,I do.,a,THE WITNESS,start_question
10,148,6,1,Is there any reason why you cannot testify truthfully today?,q,MR. TICE,start_answer
11,150,6,3,No.,a,THE WITNESS,start_question
12,151,6,4,Is there any reason why your testimony today might be unreliable?,q,MR. TICE,start_answer
13,153,6,6,No.,a,THE WITNESS,start_question
14,154,6,7,"I know you've been deposed a few times before, but I would like to go over a few ground rules to refresh your memory, if that's okay.",q,MR. TICE,start_answer
15,157,6,10,"By the way, it might help-- would you mind moving just a little closer? Your voice is not that loud, and I--",a,THE WITNESS,start_question
16,160,6,13,Okay.  Sure.,q,MR. TICE,start_answer
17,161,6,14,"I don't want to lean forward too much, but just one notch down would be really helpful.",a,THE WITNESS,start_question
18,163,6,16,Not a problem. All right.,q,MR. TICE,start_answer
19,165,6,18,My apologies.,a,THE WITNESS,start_question
20,166,6,19,"No, no. All right.  Is this better?",q,MR. TICE,start_answer
21,168,6,21,"Yes, much better. Thank you.",a,THE WITNESS,start_question
22,170,6,23,"All right.  While we are talking today, let's try not to talk over each other.  Please let me finish my question before you begin answering, and I'll try to do the same for you. Does that make sense?",q,MR. TICE,start_answer
23,176,7,3,Yes.,a,THE WITNESS,start_question
24,177,7,4,"And if you don't understand one of my questions, will you please let me know so I can rephrase the question in a way that you will understand?",q,MR. TICE,start_answer
25,180,7,7,I will do that.,a,THE WITNESS,start_question
26,181,7,8,"And do you understand that unless your attorney instructs you not to answer a question, that you must answer the questions?",q,MR. TICE,start_answer
27,184,7,11,Yes.,a,THE WITNESS,start_question
28,185,7,12,"And lastly, we'll be having some breaks throughout the day, but if you ever need a break, just let me know, and we can stop. I just ask that if there's a pending question, please answer it before we take a break. Does that make sense?",q,MR. TICE,start_answer
29,191,7,18,Yes.,a,THE WITNESS,start_question
30,192,7,19,"And you've been deposed before, correct?",q,MR. TICE,start_answer
31,193,7,20,That's correct.,a,THE WITNESS,start_question
32,194,7,21,How many times have you been deposed?,q,MR. TICE,start_answer
33,195,7,22,Approximately 25 to 30.,a,THE WITNESS,start_question
34,196,7,23,And were all of your depositions related to patent cases?,q,MR. TICE,start_answer
35,197,7,24,Almost all.,a,THE WITNESS,start_question
36,198,7,25,"Besides patent cases, what other depositions have you been in?",q,MR. TICE,start_answer
37,201,8,2,"I'm sorry, could you repeat?",a,THE WITNESS,start_question
38,202,8,3,"Outside of patent cases, what other types of cases have you been deposed in?",q,MR. TICE,start_answer
39,204,8,5,There was one case that I can remember -- it's been quite a few years ago -- that was regarding a person who had left the company and had presumably taken some knowledge or intellectual property with them. It wasn't strictly related to patents.  Some of it might have been proprietary technology.,a,THE WITNESS,start_question
40,210,8,11,"In the times that you've testified related to patent cases, has that always been as an expert witness?",q,MR. TICE,start_answer
41,212,8,13,Yes.,a,THE WITNESS,start_question
42,213,8,14,In your patent cases have you always testified on behalf of the plaintiff or the defendant or a mix of the two?,q,MR. TICE,start_answer
43,215,8,16,It's been a mix.,a,THE WITNESS,is brackets
44,216,8,17,(Exhibit No. 1 marked for identification.),brackets,,start_question
45,218,8,19,(By Mr. Tice)  The court reporter is going to hand you Exhibit No. 1. Do you recognize Exhibit No. 1?,q,MR. TICE,start_answer
46,221,8,22,I do.,a,THE WITNESS,start_question
47,222,8,23,What is Exhibit No. 1?,q,MR. TICE,start_answer
48,223,8,24,"It's a list of my depositions and/or trial testimony, covering approximately a period of five years from today's date.",a,THE WITNESS,start_question
49,227,9,2,Is Exhibit No. 1 an accurate listing of your depositions and trial testimony that you provided in the past five years?,q,MR. TICE,start_answer
50,230,9,5,"To the best of my understanding and knowledge, it is.",a,THE WITNESS,start_question
51,231,9,6,And is Exhibit No. 1 a complete listing of your depositions and trial testimony in the past five years?,q,MR. TICE,start_answer
52,233,9,8,Yes.,a,THE WITNESS,start_question
53,234,9,9,Have you ever provided testimony at hearings?,q,MR. TICE,start_answer
54,235,9,10,What kind of hearings?,a,THE WITNESS,start_question
55,236,9,11,Have you ever provided testimony at a hearing before the Court?,q,MR. TICE,start_answer
56,238,9,13,"Like a Markman hearing? I am not sure what you mean by ""hearing."" I have testified in court, so I'm not quite sure what you mean by ""hearing.""",a,THE WITNESS,start_question
57,242,9,17,Have you testified in a Markman hearing?,q,MR. TICE,start_answer
58,243,9,18,"One time, yes.",a,THE WITNESS,start_question
59,244,9,19,Have you testified at a trial?,q,MR. TICE,start_answer
60,245,9,20,Yes.,a,THE WITNESS,start_question
61,246,9,21,"I notice Exhibit No. 1 says, ""Through June 2019."" Have you provided any testimony since June 2019?",q,MR. TICE,start_answer
62,248,9,23,No.,a,THE WITNESS,start_question
63,249,9,24,Has your testimony ever been struck?,q,MR. TICE,start_answer
64,250,9,25,"No, actually, let me correct that.",a,THE WITNESS,start_question
65,252,10,1,Okay.,q,MR. TICE,start_answer
66,253,10,2,There's one-- I was going to say there's one thing missing. It's on the back side.,a,THE WITNESS,start_question
67,256,10,5,Okay.,q,MR. TICE,start_answer
68,257,10,6,"With what's on the back side, then it's up to date.",a,THE WITNESS,start_question
69,258,10,7,Has any of your testimony been struck by a Court?,q,MR. TICE,start_chat
70,259,10,8,Objection; form.,side_chat,MR. APREOTESI,start_chat
71,260,10,9,No.,side_chat,THE WITNESS,start_question
72,261,10,10,(By Mr. Tice)  Have any of your opinions been struck by a Court?,q,MR. TICE,start_answer
73,263,10,12,No.,a,THE WITNESS,start_question
74,264,10,13,"And you provided a report in this case, right?",q,MR. TICE,start_answer
75,265,10,14,I provided a declaration with regard to the '327.,a,THE WITNESS,is brackets
76,266,10,15,(Exhibit No. 2 marked for identification.),brackets,,start_question
77,268,10,17,(By Mr. Tice)  The court reporter is handing you Exhibit No. 2. Is this the declaration that you were referencing?,q,MR. TICE,start_answer
78,271,10,20,"Yes, it is.",a,THE WITNESS,start_question
79,272,10,21,And in this declaration you opine that a phrase of the '327 patent is indefinite; is that correct?,q,MR. TICE,start_answer
80,274,10,23,That's correct.,a,THE WITNESS,start_question
81,275,10,24,And which phrase is that?,q,MR. TICE,start_answer
